fpr,Sensitivity,Plr,Specificity,Thresholds
0.001509433962264,0.003872437357631,2.38310767268635,0.998490566037736,4.2615
0.001509433962264,0.004214123006834,2.38291623590917,0.998490566037736,4.3286
0.001509433962264,0.004441913439636,2.38290129822697,0.998490566037736,4.3336
0.001509433962264,0.004669703872437,2.38285407449339,0.998490566037736,4.3492
0.001509433962264,0.004897494305239,2.38283658398351,0.998490566037736,4.3549
0.001509433962264,0.00501138952164,2.38281493013693,0.998490566037736,4.3619
0.001509433962264,0.005239179954442,2.38269983089827,0.998490566037736,4.3981
0.003396226415094,0.005239179954442,2.38267170492544,0.996603773584906,4.4067
0.003396226415094,0.005353075170843,2.3826661090333,0.996603773584906,4.4084
0.003396226415094,0.005466970387244,2.38262961014571,0.996603773584906,4.4194
0.003396226415094,0.005580865603645,2.38260915179581,0.996603773584906,4.4255
0.003396226415094,0.005694760820046,2.38260814160992,0.996603773584906,4.4258
0.003396226415094,0.005808656036446,2.38259700450027,0.996603773584906,4.4291
0.003396226415094,0.005922551252847,2.38259294323053,0.996603773584906,4.4303
0.003396226415094,0.006036446469248,2.3825667379923,0.996603773584906,4.438
0.003396226415094,0.006150341685649,2.38255508642709,0.996603773584906,4.4414
0.003396226415094,0.00626423690205,2.38253059537446,0.996603773584906,4.4485
0.003396226415094,0.006378132118451,2.38249958799115,0.996603773584906,4.4574
0.003396226415094,0.006492027334852,2.38245758941897,0.996603773584906,4.4693
0.003396226415094,0.006605922551253,2.38245296367453,0.996603773584906,4.4706
0.003396226415094,0.006719817767654,2.38244654648794,0.996603773584906,4.4724
0.00377358490566,0.006719817767654,2.38238668747612,0.99622641509434,4.489
0.00377358490566,0.006833712984055,2.38238048778292,0.99622641509434,4.4907
0.00377358490566,0.006947608200456,2.3823621779081,0.99622641509434,4.4957
0.00377358490566,0.007061503416857,2.38219998429675,0.99622641509434,4.5387
0.00377358490566,0.007175398633257,2.38218251221442,0.99622641509434,4.5432
0.00377358490566,0.007289293849658,2.38216729205908,0.99622641509434,4.5471
0.00377358490566,0.007403189066059,2.38213347331418,0.99622641509434,4.5557
0.00377358490566,0.00751708428246,2.38212753840106,0.99622641509434,4.5572
0.00377358490566,0.007630979498861,2.38212516140657,0.99622641509434,4.5578
0.00377358490566,0.007744874715262,2.38205020476054,0.99622641509434,4.5765
0.00377358490566,0.007858769931663,2.38193139921335,0.99622641509434,4.6053
0.00377358490566,0.007972665148064,2.38191752120728,0.99622641509434,4.6086
0.00377358490566,0.008086560364465,2.38183481560278,0.99622641509434,4.628
0.00377358490566,0.008200455580866,2.38183179533146,0.99622641509434,4.6287
0.00377358490566,0.008314350797267,2.38183093193259,0.99622641509434,4.6289
0.00377358490566,0.008428246013667,2.38183006832732,0.99622641509434,4.6291
0.00377358490566,0.008656036446469,2.38181882265896,0.99622641509434,4.6317
0.00377358490566,0.009225512528474,2.38176470677501,0.99622641509434,4.6441
0.00377358490566,0.009339407744875,2.38174354306064,0.99622641509434,4.6489
0.00377358490566,0.009453302961276,2.38174310086298,0.99622641509434,4.649
0.00377358490566,0.009567198177677,2.38172492540092,0.99622641509434,4.6531
0.00377358490566,0.009681093394077,2.38169861455289,0.99622641509434,4.659
0.004150943396226,0.009681093394077,2.3816540498269,0.995849056603774,4.6689
0.004150943396226,0.009794988610478,2.38164679823605,0.995849056603774,4.6705
0.004150943396226,0.01002277904328,2.38162085254196,0.995849056603774,4.6762
0.004150943396226,0.010136674259681,2.38159243163301,0.995849056603774,4.6824
0.004150943396226,0.010250569476082,2.38158874923199,0.995849056603774,4.6832
0.004150943396226,0.010364464692483,2.38155684379505,0.995849056603774,4.6901
0.004150943396226,0.010478359908884,2.38155359248077,0.995849056603774,4.6908
0.004150943396226,0.010592255125285,2.38155033848266,0.995849056603774,4.6915
0.004150943396226,0.010706150341686,2.38152046289056,0.995849056603774,4.6979
0.004150943396226,0.010820045558087,2.38150638103594,0.995849056603774,4.7009
0.004150943396226,0.010933940774488,2.381480908173,0.995849056603774,4.7063
0.004150943396226,0.011047835990888,2.38141122311143,0.995849056603774,4.7209
0.004150943396226,0.01127562642369,2.38131824304807,0.995849056603774,4.74
0.004150943396226,0.011389521640091,2.38130641237918,0.995849056603774,4.7424
0.004150943396226,0.011503416856492,2.38130394348815,0.995849056603774,4.7429
0.004528301886792,0.011503416856492,2.38129504356147,0.995471698113207,4.7447
0.004905660377359,0.011503416856492,2.3812692276192,0.995094339622641,4.7499
0.004905660377359,0.011617312072893,2.38125775910334,0.995094339622641,4.7522
0.004905660377359,0.011731207289294,2.38124525848466,0.995094339622641,4.7547
0.005283018867925,0.011731207289294,2.38123723900414,0.994716981132076,4.7563
0.006037735849057,0.011731207289294,2.38114137352706,0.993962264150943,4.7752
0.006037735849057,0.011845102505695,2.38108512477348,0.993962264150943,4.7861
0.006415094339623,0.011845102505695,2.3809768689817,0.993584905660377,4.8067
0.006415094339623,0.011958997722096,2.38095234292583,0.993584905660377,4.8113
0.006415094339623,0.012072892938497,2.3809271495641,0.993584905660377,4.816
0.006415094339623,0.012186788154898,2.38091854206381,0.993584905660377,4.8176
0.006415094339623,0.012300683371298,2.38089045842431,0.993584905660377,4.8228
0.006415094339623,0.012414578587699,2.38088178359736,0.993584905660377,4.8244
0.006415094339623,0.0125284738041,2.38072289422778,0.993584905660377,4.8532
0.006415094339623,0.012642369020501,2.38072008940279,0.993584905660377,4.8537
0.006415094339623,0.012756264236902,2.38066819505469,0.993584905660377,4.8629
0.006415094339623,0.012870159453303,2.38048635852154,0.993584905660377,4.8944
